time,temperature_2m,relativehumidity_2m,windspeed_10m,city
2023-02-26T00:00,18.9,64,2.5,Mysore
2023-02-26T01:00,18.8,65,1.6,Mysore
2023-02-26T02:00,18.9,65,1.9,Mysore
2023-02-26T03:00,21.7,56,2.7,Mysore
2023-02-26T04:00,25.2,39,7.8,Mysore
2023-02-26T05:00,28.1,26,16.3,Mysore
2023-02-26T06:00,30.5,17,21.0,Mysore
2023-02-26T07:00,32.1,13,23.3,Mysore
2023-02-26T08:00,32.9,13,23.0,Mysore
2023-02-26T09:00,33.3,15,21.9,Mysore
2023-02-26T10:00,33.6,14,22.1,Mysore
2023-02-26T11:00,33.0,14,22.8,Mysore
2023-02-26T12:00,31.7,17,21.6,Mysore
2023-02-26T13:00,29.9,21,17.2,Mysore
2023-02-26T14:00,27.9,25,10.0,Mysore
2023-02-26T15:00,26.4,28,8.7,Mysore
2023-02-26T16:00,25.2,30,8.5,Mysore
2023-02-26T17:00,24.2,35,8.3,Mysore
2023-02-26T18:00,23.4,41,8.0,Mysore
2023-02-26T19:00,22.7,46,7.6,Mysore
2023-02-26T20:00,21.6,52,5.7,Mysore
2023-02-26T21:00,20.5,57,4.7,Mysore
2023-02-26T22:00,19.5,62,4.1,Mysore
2023-02-26T23:00,18.5,66,3.6,Mysore
2023-02-27T00:00,17.7,69,3.4,Mysore
2023-02-27T01:00,17.0,71,3.1,Mysore
2023-02-27T02:00,17.1,71,2.6,Mysore
2023-02-27T03:00,20.3,57,4.0,Mysore
2023-02-27T04:00,23.6,46,10.6,Mysore
2023-02-27T05:00,26.4,31,15.0,Mysore
2023-02-27T06:00,28.7,23,17.8,Mysore
2023-02-27T07:00,30.5,17,20.4,Mysore
2023-02-27T08:00,31.7,15,22.5,Mysore
2023-02-27T09:00,32.4,13,23.6,Mysore
2023-02-27T10:00,32.3,14,23.3,Mysore
2023-02-27T11:00,31.8,17,21.6,Mysore
2023-02-27T12:00,30.9,16,20.2,Mysore
2023-02-27T13:00,29.3,14,17.1,Mysore
2023-02-27T14:00,27.0,15,10.9,Mysore
2023-02-27T15:00,25.6,17,6.9,Mysore
2023-02-27T16:00,24.2,20,6.6,Mysore
2023-02-27T17:00,22.8,22,6.2,Mysore
2023-02-27T18:00,21.8,27,5.5,Mysore
2023-02-27T19:00,21.0,34,4.8,Mysore
2023-02-27T20:00,20.4,42,4.5,Mysore
2023-02-27T21:00,19.8,50,4.8,Mysore
2023-02-27T22:00,19.3,57,4.6,Mysore
2023-02-27T23:00,18.8,63,3.8,Mysore
2023-02-28T00:00,18.2,67,3.1,Mysore
2023-02-28T01:00,17.7,71,3.2,Mysore
2023-02-28T02:00,18.0,71,3.5,Mysore
2023-02-28T03:00,21.5,59,5.6,Mysore
2023-02-28T04:00,24.7,47,11.4,Mysore
2023-02-28T05:00,27.5,37,14.2,Mysore
2023-02-28T06:00,29.7,32,17.1,Mysore
2023-02-28T07:00,31.4,27,19.6,Mysore
2023-02-28T08:00,32.5,25,22.2,Mysore
2023-02-28T09:00,32.7,25,23.8,Mysore
