time,Mysore,Delhi,Mumbai,Sagar,Jalpaiguri,Pakur,Sardarshahar
2023-02-26T00:00,18.9,16.1,21.7,17.1,17.8,15.9,19.8
2023-02-26T01:00,18.8,15.8,21.2,16.5,17.7,16.0,19.6
2023-02-26T02:00,18.9,15.8,20.6,16.7,19.2,18.0,19.4
2023-02-26T03:00,21.7,17.9,21.8,20.9,22.5,22.1,20.6
2023-02-26T04:00,25.2,21.2,25.9,26.6,25.3,24.8,23.1
2023-02-26T05:00,28.1,23.9,29.6,30.2,27.3,27.1,25.9
2023-02-26T06:00,30.5,26.2,32.6,32.1,28.7,28.9,28.7
2023-02-26T07:00,32.1,27.8,34.7,33.1,29.5,30.1,30.8
2023-02-26T08:00,32.9,29.0,35.8,33.9,29.7,30.9,31.8
2023-02-26T09:00,33.3,29.7,35.6,34.3,29.7,31.5,31.9
2023-02-26T10:00,33.6,29.9,33.7,34.4,29.4,31.3,30.9
2023-02-26T11:00,33.0,29.2,32.2,33.9,28.8,30.6,30.1
2023-02-26T12:00,31.7,27.4,30.9,32.8,27.1,27.8,29.3
2023-02-26T13:00,29.9,25.0,29.3,31.0,25.2,24.8,27.3
2023-02-26T14:00,27.9,23.6,28.0,28.8,23.8,23.1,25.5
2023-02-26T15:00,26.4,22.5,27.2,27.1,22.4,21.8,24.5
2023-02-26T16:00,25.2,21.6,26.5,25.6,21.7,20.9,23.4
2023-02-26T17:00,24.2,21.2,25.8,24.5,20.8,20.2,22.3
2023-02-26T18:00,23.4,21.5,25.1,23.9,19.8,19.3,21.4
2023-02-26T19:00,22.7,19.3,24.3,23.9,19.1,18.2,20.6
2023-02-26T20:00,21.6,18.9,23.6,23.5,18.6,17.1,20.2
2023-02-26T21:00,20.5,18.6,23.3,22.9,18.1,16.5,19.8
2023-02-26T22:00,19.5,18.3,23.0,22.2,17.6,15.9,19.5
2023-02-26T23:00,18.5,18.0,22.5,21.6,17.2,14.2,19.4
2023-02-27T00:00,17.7,17.8,22.0,21.0,17.0,13.4,19.1
2023-02-27T01:00,17.0,17.6,21.6,20.3,17.0,13.4,18.4
2023-02-27T02:00,17.1,17.5,21.3,20.4,18.8,16.5,17.8
2023-02-27T03:00,20.3,19.1,22.3,23.9,22.3,22.4,19.6
2023-02-27T04:00,23.6,22.4,26.8,27.7,25.1,26.0,22.7
2023-02-27T05:00,26.4,25.3,30.3,30.5,27.4,28.5,26.0
2023-02-27T06:00,28.7,27.6,33.3,32.0,28.9,30.0,29.1
2023-02-27T07:00,30.5,29.1,35.7,33.5,29.4,30.9,31.0
2023-02-27T08:00,31.7,30.0,36.0,34.4,29.5,31.4,32.0
2023-02-27T09:00,32.4,30.5,34.2,34.8,29.7,31.7,32.5
2023-02-27T10:00,32.3,30.5,33.0,34.8,29.5,31.6,32.3
2023-02-27T11:00,31.8,30.0,31.8,34.2,28.9,30.7,31.8
2023-02-27T12:00,30.9,28.7,30.5,33.0,27.3,27.8,30.4
2023-02-27T13:00,29.3,25.9,29.0,31.1,25.4,25.0,28.2
2023-02-27T14:00,27.0,23.7,27.8,28.8,24.2,23.1,25.8
2023-02-27T15:00,25.6,22.4,27.2,26.4,22.7,21.6,24.4
2023-02-27T16:00,24.2,21.4,26.6,25.3,21.6,20.0,23.1
2023-02-27T17:00,22.8,20.3,26.1,24.3,20.7,18.7,22.3
2023-02-27T18:00,21.8,19.6,25.4,23.2,20.0,18.0,21.6
2023-02-27T19:00,21.0,19.2,24.5,22.0,19.4,17.2,20.8
2023-02-27T20:00,20.4,18.6,24.1,21.5,18.9,16.5,20.1
2023-02-27T21:00,19.8,18.3,24.5,21.3,18.4,16.1,19.5
2023-02-27T22:00,19.3,17.8,23.8,21.5,18.1,15.6,18.9
2023-02-27T23:00,18.8,17.2,22.8,21.1,18.2,15.2,18.5
2023-02-28T00:00,18.2,16.6,21.8,20.4,17.4,15.2,18.2
2023-02-28T01:00,17.7,16.0,21.2,19.2,16.7,15.6,17.9
2023-02-28T02:00,18.0,16.0,20.8,18.4,19.1,18.4,17.7
2023-02-28T03:00,21.5,18.0,22.2,22.0,22.2,23.0,19.4
2023-02-28T04:00,24.7,22.0,26.2,26.4,24.8,26.5,21.6
2023-02-28T05:00,27.5,25.3,29.7,29.9,26.9,29.2,23.5
2023-02-28T06:00,29.7,27.9,32.5,32.0,28.1,31.1,25.7
2023-02-28T07:00,31.4,28.9,34.4,33.4,29.2,32.5,27.4
2023-02-28T08:00,32.5,29.4,34.8,34.5,29.9,33.3,28.9
2023-02-28T09:00,32.7,29.3,33.0,34.8,29.9,33.4,30.2
2023-02-28T10:00,32.3,28.8,32.2,34.8,29.7,32.8,30.7
2023-02-28T11:00,31.7,28.2,31.3,34.4,29.1,31.9,30.7
2023-02-28T12:00,30.4,26.8,29.9,33.5,27.5,29.2,29.8
2023-02-28T13:00,28.5,24.4,28.1,31.1,25.4,26.0,27.9
2023-02-28T14:00,27.3,22.4,26.7,28.1,23.6,24.1,25.9
2023-02-28T15:00,26.2,21.5,25.8,24.5,22.4,22.5,24.7
2023-02-28T16:00,25.6,21.2,25.4,21.9,21.7,21.2,23.8
2023-02-28T17:00,24.9,20.8,24.9,20.8,21.2,19.7,22.9
2023-02-28T18:00,24.1,20.6,24.5,20.5,21.0,18.8,22.1
2023-02-28T19:00,23.4,20.1,24.2,19.7,20.0,18.3,21.4
2023-02-28T20:00,22.8,19.7,23.8,18.4,19.5,17.9,20.7
2023-02-28T21:00,22.1,19.4,23.3,17.7,19.3,17.3,20.1
2023-02-28T22:00,21.6,18.8,23.0,17.7,18.9,16.2,19.5
2023-02-28T23:00,21.2,18.3,23.0,18.1,18.4,15.5,19.0
2023-03-01T00:00,21.0,17.7,22.7,18.7,18.0,15.4,18.8
2023-03-01T01:00,20.9,17.0,22.5,19.6,18.0,15.4,18.6
2023-03-01T02:00,21.3,16.9,22.4,20.4,20.0,18.3,18.5
2023-03-01T03:00,23.4,18.8,23.7,23.4,22.5,23.7,19.4
2023-03-01T04:00,25.5,21.7,27.0,26.2,25.1,27.3,21.4
2023-03-01T05:00,27.5,24.6,30.1,28.2,27.2,29.8,23.8
2023-03-01T06:00,29.4,26.9,32.9,30.5,28.2,31.5,26.2
2023-03-01T07:00,30.8,27.9,34.2,32.0,29.1,32.8,27.3
2023-03-01T08:00,32.0,28.3,34.8,33.0,29.7,33.7,27.9
2023-03-01T09:00,33.0,28.4,34.6,33.9,30.0,34.0,28.3
2023-03-01T10:00,32.9,28.3,33.5,33.9,29.8,33.2,28.3
2023-03-01T11:00,32.2,28.1,31.8,33.6,29.2,31.7,27.9
2023-03-01T12:00,31.1,27.2,29.5,32.6,28.0,29.3,27.0
2023-03-01T13:00,30.2,25.8,28.4,31.5,26.8,27.3,25.9
2023-03-01T14:00,29.2,23.9,27.3,30.0,25.3,25.0,24.5
2023-03-01T15:00,27.9,21.6,26.3,28.3,23.7,22.4,22.7
2023-03-01T16:00,27.2,20.4,25.7,27.6,23.1,20.9,21.7
2023-03-01T17:00,26.5,19.4,25.4,27.2,22.8,19.8,20.9
2023-03-01T18:00,25.6,18.2,24.9,26.5,22.4,18.5,19.9
2023-03-01T19:00,24.8,17.4,24.4,25.5,21.9,17.6,19.3
2023-03-01T20:00,24.1,16.7,23.8,24.3,21.4,16.9,18.7
2023-03-01T21:00,23.1,16.1,23.2,22.8,20.7,16.1,18.1
2023-03-01T22:00,22.3,16.0,23.2,21.9,20.2,15.4,17.8
2023-03-01T23:00,21.3,16.0,23.4,21.1,19.6,14.7,17.6
2023-03-02T00:00,20.7,16.3,23.8,20.7,19.6,15.1,17.6
2023-03-02T01:00,20.7,16.6,23.7,20.9,20.5,17.1,17.5
2023-03-02T02:00,21.2,17.0,23.6,21.6,21.9,20.1,17.6
2023-03-02T03:00,22.6,18.4,24.6,23.3,23.9,24.1,18.4
2023-03-02T04:00,24.8,20.9,27.1,25.8,25.5,26.6,20.2
2023-03-02T05:00,27.7,24.1,30.7,29.1,27.2,29.0,22.6
2023-03-02T06:00,31.0,27.9,34.3,32.7,29.0,31.5,25.5
2023-03-02T07:00,32.5,29.8,35.2,34.2,29.9,33.0,27.1
2023-03-02T08:00,33.5,31.1,35.2,35.0,30.5,34.2,28.5
2023-03-02T09:00,34.2,32.2,34.5,35.6,30.7,34.7,29.7
2023-03-02T10:00,34.0,32.4,33.6,35.6,30.4,34.0,30.0
2023-03-02T11:00,33.3,32.0,32.3,35.1,29.7,32.5,29.8
2023-03-02T12:00,31.9,30.9,30.6,34.0,28.6,30.2,29.0
2023-03-02T13:00,30.5,29.2,29.4,32.4,27.5,28.3,27.9
2023-03-02T14:00,28.8,27.0,28.3,30.4,26.1,26.1,26.3
2023-03-02T15:00,26.8,24.4,27.0,28.0,24.6,23.4,24.3
2023-03-02T16:00,25.7,23.2,26.5,26.8,23.9,21.7,23.1
2023-03-02T17:00,24.9,22.3,26.2,25.9,23.4,20.1,22.0
2023-03-02T18:00,23.7,21.3,25.7,24.9,22.8,18.4,20.6
2023-03-02T19:00,22.8,20.7,25.1,24.3,22.3,17.4,19.6
2023-03-02T20:00,21.8,20.3,24.4,23.8,22.0,16.8,18.7
2023-03-02T21:00,20.6,19.5,23.6,23.0,21.5,16.1,17.6
